                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
27/06/13  4:00a   11.8   11.8   11.8    85    9.4   0.0   ---   0.00   0.0   ---   11.8   11.8   11.8   10.4  1016.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    84    9.5   12.1  17.92 1.2273     0.00   117    1    100.0    5 
27/06/13  4:05a   11.8   11.8   11.8    85    9.4   0.0   ---   0.00   0.0   ---   11.8   11.8   11.8   10.4  1016.2  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    84    9.4   12.0  17.93 1.2274     0.00   117    1    100.0    5 
27/06/13  4:10a   11.8   11.8   11.8    85    9.4   0.0   ---   0.00   0.0   ---   11.8   11.8   11.8   10.4  1016.2  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    83    9.3   11.9  17.45 1.2276     0.00   117    1    100.0    5 
27/06/13  4:15a   11.8   11.8   11.8    85    9.3   0.0   ---   0.00   0.0   ---   11.8   11.7   11.7   10.4  1016.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    83    9.3   11.9  17.45 1.2275     0.00   117    1    100.0    5 
27/06/13  4:20a   11.8   11.8   11.8    85    9.4   0.0   ---   0.00   0.0   ---   11.8   11.8   11.8   10.4  1016.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    83    9.3   11.9  17.45 1.2275     0.00   117    1    100.0    5 
27/06/13  4:25a   11.8   11.8   11.8    85    9.4   0.0   ---   0.00   0.0   ---   11.8   11.8   11.8   10.4  1016.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    83    9.3   11.9  17.45 1.2274     0.00   117    1    100.0    5 
27/06/13  4:30a   11.8   11.8   11.8    85    9.3   0.0   ---   0.00   0.0   ---   11.8   11.7   11.7   10.4  1016.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    83    9.3   11.9  17.45 1.2275     0.00   117    1    100.0    5 
27/06/13  4:35a   11.8   11.8   11.8    85    9.3   0.0   ---   0.00   0.0   ---   11.8   11.7   11.7   10.4  1016.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    83    9.3   11.9  17.45 1.2275     0.00   117    1    100.0    5 
27/06/13  4:40a   11.8   11.8   11.8    85    9.3   0.0   ---   0.00   0.0   ---   11.8   11.7   11.7   10.4  1016.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    83    9.3   11.9  17.45 1.2275     0.00   117    1    100.0    5 
27/06/13  4:45a   11.8   11.8   11.8    85    9.3   0.0   ---   0.00   0.0   ---   11.8   11.7   11.7   10.4  1016.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    83    9.3   11.9  17.45 1.2275     0.00   117    1    100.0    5 
27/06/13  4:50a   11.8   11.8   11.8    85    9.3   0.0   ---   0.00   0.0   ---   11.8   11.7   11.7   10.4  1016.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    83    9.3   11.9  17.45 1.2275     0.00   118    1    100.0    5 
27/06/13  4:55a   11.8   11.8   11.8    85    9.3   0.0   ---   0.00   0.0   ---   11.8   11.7   11.7   10.4  1016.2  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    83    9.3   11.9  17.45 1.2276     0.00   117    1    100.0    5 
27/06/13  5:00a   11.8   11.8   11.8    85    9.3   0.0   ---   0.00   0.0   ---   11.8   11.7   11.7   10.4  1016.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    83    9.3   11.9  17.45 1.2275     0.00   117    1    100.0    5 
27/06/13  5:05a   11.8   11.8   11.8    85    9.3   0.0   ---   0.00   0.0   ---   11.8   11.7   11.7   10.4  1016.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    83    9.3   11.9  17.45 1.2275     0.00   117    1    100.0    5 
27/06/13  5:10a   11.8   11.8   11.8    85    9.3   0.0   ---   0.00   0.0   ---   11.8   11.7   11.7   10.4  1016.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.0    83    9.2   11.9  17.46 1.2277     0.00   116    1    100.0    5 
27/06/13  5:15a   11.8   11.8   11.8    85    9.3   0.0   ---   0.00   0.0   ---   11.8   11.7   11.7   10.4  1016.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.0    83    9.2   11.9  17.46 1.2277     0.00   117    1    100.0    5 
27/06/13  5:20a   11.8   11.8   11.7    85    9.3   0.0   ---   0.00   0.0   ---   11.8   11.7   11.7   10.4  1015.9  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.0    83    9.2   11.9  17.46 1.2275     0.00   117    1    100.0    5 
27/06/13  5:25a   11.7   11.8   11.7    85    9.3   0.0   ---   0.00   0.0   ---   11.7   11.7   11.7   10.3  1015.9  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.0    83    9.2   11.9  17.46 1.2275     0.00   117    1    100.0    5 
27/06/13  5:30a   11.7   11.8   11.7    85    9.3   0.0   ---   0.00   0.0   ---   11.7   11.7   11.7   10.3  1015.9  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.0    83    9.2   11.9  17.46 1.2275     0.00   117    1    100.0    5 
27/06/13  5:35a   11.7   11.7   11.7    85    9.3   0.0   ---   0.00   0.0   ---   11.7   11.7   11.7   10.3  1015.9  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.0    83    9.2   11.9  17.46 1.2275     0.00   117    1    100.0    5 
27/06/13  5:40a   11.7   11.7   11.7    85    9.3   0.0   ---   0.00   0.0   ---   11.7   11.7   11.7   10.3  1016.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.47 1.2280     0.00   117    1    100.0    5 
27/06/13  5:45a   11.7   11.7   11.7    85    9.3   0.0   ---   0.00   0.0   ---   11.7   11.7   11.7   10.3  1016.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.47 1.2279     0.00   117    1    100.0    5 
27/06/13  5:50a   11.7   11.7   11.7    85    9.3   0.0   ---   0.00   0.0   ---   11.7   11.7   11.7   10.3  1016.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.47 1.2279     0.00   117    1    100.0    5 
27/06/13  5:55a   11.7   11.7   11.7    85    9.3   0.0   ---   0.00   0.0   ---   11.7   11.7   11.7   10.3  1016.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.47 1.2281     0.00   118    1    100.0    5 
27/06/13  6:00a   11.7   11.7   11.7    85    9.2   0.0   ---   0.00   0.0   ---   11.7   11.6   11.6   10.3  1016.2  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.47 1.2282     0.00   116    1    100.0    5 
27/06/13  6:05a   11.7   11.7   11.7    85    9.2   0.0   ---   0.00   0.0   ---   11.7   11.6   11.6   10.3  1016.2  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.47 1.2282     0.00   117    1    100.0    5 
27/06/13  6:10a   11.7   11.7   11.7    85    9.3   0.0   ---   0.00   0.0   ---   11.7   11.7   11.7   10.3  1016.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.47 1.2284     0.00   117    1    100.0    5 
27/06/13  6:15a   11.7   11.7   11.7    85    9.2   0.0   ---   0.00   0.0   ---   11.7   11.6   11.6   10.3  1016.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.47 1.2284     0.00   117    1    100.0    5 
27/06/13  6:20a   11.7   11.7   11.7    85    9.2   0.0   ---   0.00   0.0   ---   11.7   11.6   11.6   10.3  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.47 1.2285     0.00   117    1    100.0    5 
27/06/13  6:25a   11.7   11.7   11.7    85    9.2   0.0   ---   0.00   0.0   ---   11.7   11.6   11.6   10.3  1016.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.47 1.2285     0.00   117    1    100.0    5 
27/06/13  6:30a   11.6   11.7   11.6    85    9.2   0.0   ---   0.00   0.0   ---   11.6   11.6   11.6   10.2  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.47 1.2286     0.00   117    1    100.0    5 
27/06/13  6:35a   11.7   11.7   11.6    85    9.2   0.0   ---   0.00   0.0   ---   11.7   11.6   11.6   10.3  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.48 1.2289     0.00   117    1    100.0    5 
27/06/13  6:40a   11.7   11.7   11.6    85    9.2   0.0   ---   0.00   0.0   ---   11.7   11.6   11.6   10.3  1016.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.48 1.2290     0.00   117    1    100.0    5 
